set_number,name,year_released,number_of_parts,image_url,theme_name
419-2,2 x 3 Bricks (The Building Toy),1966,15,https://cdn.rebrickable.com/media/sets/419-2.jpg,Supplemental
456-2,"1 x 2 x 2 Window, Red or White",1966,15,https://cdn.rebrickable.com/media/sets/456-2.jpg,Supplemental
100-1,4.5V Motor with Wheels (Small Version),1966,16,https://cdn.rebrickable.com/media/sets/100-1.jpg,4.5V
462-2,"2 x 8 Plates, White",1966,16,https://cdn.rebrickable.com/media/sets/462-2.jpg,Supplemental
057-1,Large Wheels,1966,17,https://cdn.rebrickable.com/media/sets/057-1.jpg,Supplemental
113-2-DBASE-1,Database Set for Various 3009 prints For Set 113-2,1966,18,https://cdn.rebrickable.com/media/sets/113-2-dbase-1.jpg,Database Sets
457-1,"1 x 1 x 2 Window, Red or White",1966,19,https://cdn.rebrickable.com/media/sets/457-1.jpg,Supplemental
458-1,"1 x 2 x 1 Window, Red or White",1966,19,https://cdn.rebrickable.com/media/sets/458-1.jpg,Supplemental
420-3,2 x 2 Bricks (The Building Toy),1966,20,https://cdn.rebrickable.com/media/sets/420-3.jpg,Supplemental
421-2,2 eights 2 sixes 2 fours 8 twos 6 ones (The Building Toy),1966,20,https://cdn.rebrickable.com/media/sets/421-2.jpg,Supplemental
459-1,"1 x 1 x 1 Windows Refill, Red or White",1966,20,https://cdn.rebrickable.com/media/sets/459-1.jpg,Supplemental
483-4,"Angle, Valley and Corner Slopes, Red (The Building Toy)",1966,20,https://cdn.rebrickable.com/media/sets/483-4.jpg,Supplemental
483-5,"Angle, Valley and Corner Slopes, Blue (The Building Toy)",1966,20,https://cdn.rebrickable.com/media/sets/483-5.jpg,Supplemental
418-3,2 x 4 Bricks (System),1966,21,https://cdn.rebrickable.com/media/sets/418-3.jpg,Supplemental
481-3,"Slopes and Slopes Double 2 x 3 and 2 x 1, Red (The Building Toy)",1966,21,https://cdn.rebrickable.com/media/sets/481-3.jpg,Supplemental
481-4,"Slopes and Slopes Double 2 x 3 an 2 x 1, Blue (The Building Toy)",1966,21,https://cdn.rebrickable.com/media/sets/481-4.jpg,Supplemental
152-1,Two Train Wagons,1966,22,https://cdn.rebrickable.com/media/sets/152-1.jpg,4.5V
482-3,"Slopes and Slopes Double 2 x 2, Red (The Building Toy)",1966,22,https://cdn.rebrickable.com/media/sets/482-3.jpg,Supplemental
482-4,"Slopes and Slopes Double 2 x 2, Blue (The Building Toy)",1966,22,https://cdn.rebrickable.com/media/sets/482-4.jpg,Supplemental
480-6,"Slopes and Slopes Double 2 x 4, Red (System)",1966,23,https://cdn.rebrickable.com/media/sets/480-6.jpg,Supplemental
480-7,"Slopes and Sloped Double 2 x 4, Blue (System)",1966,23,https://cdn.rebrickable.com/media/sets/480-7.jpg,Supplemental
150-1,Straight Track,1966,25,https://cdn.rebrickable.com/media/sets/150-1.jpg,4.5V
055-1,Trees & Bushes,1966,25,https://cdn.rebrickable.com/media/sets/055-1.jpg,Supplemental
419-3,2 x 3 Bricks (System),1966,25,https://cdn.rebrickable.com/media/sets/419-3.jpg,Supplemental
058-1,Small Wheels,1966,26,https://cdn.rebrickable.com/media/sets/058-1.jpg,Supplemental
100-2,4.5V Motor with Wheels (Large Version),1966,27,https://cdn.rebrickable.com/media/sets/100-2.jpg,4.5V
151-1,Curved Track,1966,28,https://cdn.rebrickable.com/media/sets/151-1.jpg,4.5V
422-1,"1 x 1, 1 x 2, 1 x 4, 1 x 6, 1 x 8 Bricks",1966,28,https://cdn.rebrickable.com/media/sets/422-1.jpg,Supplemental
423-3,Curved and Round Bricks (The Building Toy),1966,28,https://cdn.rebrickable.com/media/sets/423-3.jpg,Supplemental
420-4,2 x 2 Bricks (System),1966,33,https://cdn.rebrickable.com/media/sets/420-4.jpg,Supplemental
481-5,"Slopes Regular, Double, Angle, Valley and Corner, Red (System)",1966,34,https://cdn.rebrickable.com/media/sets/481-5.jpg,Supplemental
481-6,"Slopes Regular, Double, Angle, Valley and Corner, Blue (System)",1966,34,https://cdn.rebrickable.com/media/sets/481-6.jpg,Supplemental
470-1,"1 x 1, 1 x 2, 2 x 2, 2 x 3, 2 x 4 Plates (System)",1966,39,https://cdn.rebrickable.com/media/sets/470-1.jpg,Supplemental
421-1,1 x 2 Bricks,1966,44,https://cdn.rebrickable.com/media/sets/421-1.jpg,Supplemental
487-2,1 x 1 Bricks with Numbers (System),1966,44,https://cdn.rebrickable.com/media/sets/487-2.jpg,Supplemental
488-1,1 x 1 Bricks with Letters (System),1966,44,https://cdn.rebrickable.com/media/sets/488-1.jpg,Supplemental
051-1,Assorted Basic Bricks - Red,1966,50,https://cdn.rebrickable.com/media/sets/051-1.jpg,Supplemental
052-1,Assorted Basic Bricks - White,1966,50,https://cdn.rebrickable.com/media/sets/052-1.jpg,Supplemental
053-1,Assorted Basic Bricks - Blue,1966,50,https://cdn.rebrickable.com/media/sets/053-1.jpg,Supplemental
054-1,Assorted Basic Bricks - Yellow,1966,50,https://cdn.rebrickable.com/media/sets/054-1.jpg,Supplemental
